question_text,option_a,option_b,option_c,option_d,correct_answer,points,is_multi_answer
What is 2+2?,3,4,5,6,B,1,false
What is the capital of France?,London,Paris,Berlin,Madrid,B,1,false
Which planet is closest to the sun?,Venus,Earth,Mercury,Mars,C,1,false
What is the largest ocean on Earth?,Atlantic,Indian,Arctic,Pacific,D,1,false
Who painted the Mona Lisa?,Van Gogh,Picasso,Da Vinci,Michelangelo,C,1,false
Select all programming languages (MULTI-ANSWER),Python,HTML,JavaScript,CSS,"A,C",2,true
Which are prime numbers? (MULTI-ANSWER),2,4,7,9,"A,C",2,true
Select all fruits (MULTI-ANSWER),Apple,Carrot,Banana,Potato,"A,C",2,true
What is the speed of light?,299792 km/s,150000 km/s,450000 km/s,500000 km/s,A,1,false
Which element has the atomic number 1?,Oxygen,Hydrogen,Carbon,Nitrogen,B,1,false
What year did World War II end?,1943,1944,1945,1946,C,1,false
What is the square root of 144?,10,11,12,13,C,1,false
Select all even numbers (MULTI-ANSWER),2,3,4,5,"A,C",2,true

